Database,Material,Subtype,kgCO2e/kg,Comments,density,wastage,densityAssumption,wasteReference,Latest,,
NMD (Netherlands),Aggregate,General (Gravel or Crushed Rock),0.0052,Estimated from measured UK industrial fuel consumption data,2240,5,Single value from CIBSE data,WRAP,TRUE,,
ICE v2.0 2011 (UK),Aggregate,General (Gravel or Crushed Rock),0.0052,Estimated from measured UK industrial fuel consumption data,2240,5,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,General,9.16,"Assumed (UK) ratio of 25.6% extrusions, 55.7% Rolled & 18.7% castings. Worldwide average recycled content of 33%.",2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,General - Virgin,12.79,,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,General - Recycled,1.81,,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,Cast Products,9.22,Worldwide average recycled content of 33%.,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,Cast Products - Virgin,13.1,,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,Cast Products - Recycled,1.45,,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,Extruded,9.08,Worldwide average recycled content of 33%.,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,Extruded - Virgin,12.5,,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,Extruded - Recycled,2.12,,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,Rolled,9.18,Worldwide average recycled content of 33%.,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,Rolled - Virgin,12.8,,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Aluminium,Rolled - Recycled,1.79,,2700,10,Single value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Asphalt,"Asphalt, 4% (bitumen) binder content (by mass)",0.066,1.68 MJ/kg Feedstock Energy (Included). Modelled from the bitumen binder content. The fuel consumption of asphalt mixing operations was taken from the Mineral Products Association (MPA). It represents typical UK industrial data. Feedstock energy is from the bitumen content. ,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,FALSE,,
ICE v2.0 2011 (UK),Asphalt,"Asphalt, 5% binder content",0.071,2.10 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,FALSE,,
ICE v2.0 2011 (UK),Asphalt,"Asphalt, 6% binder content",0.076,2.52 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,FALSE,,
ICE v2.0 2011 (UK),Asphalt,"Asphalt, 7% binder content",0.081,2.94 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,FALSE,,
ICE v2.0 2011 (UK),Asphalt,"Asphalt, 8% binder content",0.086,3.36 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,FALSE,,
ICE v2.0 2011 (UK),Bitumen,General,0.49,"42 MJ/kg Feedstock Energy  (Included).  Feedstock assumed to be typical energy content of Bitumen. Carbon dioxide emissions are particularly difficult to estimate, range given.",2400,5,Highest from CIBSE data (composite flooring),Assumed as 5% for baseline,FALSE,,
ICE v2.0 2011 (UK),Brass,General,2.64,"Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data, making estimate of embodied carbon difficult.",8500,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Brass,General - Virgin,4.8,"Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data, making estimate of embodied carbon difficult.",8500,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Brass,General - Recycled,1.2,"Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data, making estimate of embodied carbon difficult.",8500,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Bricks,General (Common Brick),0.24,,1920,20,Brick A from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Bronze,General,4,Average of the only two references,8150,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Cement,General (UK weighted average),0.74,"Weighted average of all cement consumed within the UK. This includes all factory made cements (CEM I, CEM II, CEM III, CEM IV) and further blending of fly ash and ground granulated blast furnace slag. This data has been estimated from the British Cement Association's factsheets (see Ref. 59). 23% cementitious additions on average.",1860,5,General cement value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,"Average CEM I Portland Cement, 94% Clinker",0.95,"This is a standard cement with no cementitious additions (i.e. fly ash or blast furnace slag). Composition 94% clinker, 5% gypsum, 1% minor additional constituents (mac's). This data has been estimated from the British Cement Association's factsheets (see Ref. 59.).",1860,5,General cement value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,6-20% Fly Ash (CEM II/A-V),0.825,See material profile for further details.,1860,5,General cement value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,21-35% Fly Ash (CEM II/B-V),0.685,See material profile for further details.,1860,5,General cement value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,21-35% GGBS (CEM II/B-S),0.71,See material profile for further details.,1860,5,General cement value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,36-65% GGBS (CEM III/A),0.515,See material profile for further details.,1860,5,General cement value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,66-80% GGBS (CEM II/B),0.32,See material profile for further details.,1860,5,General cement value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,Fibre Cement Panels - Uncoated,1.09,Few data points. Selected data modified from Ref. 107.,400,5,Cement panel C from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,Fibre Cement  Panels - (Colour) Coated,1.28,Few data points. Selected data modified from Ref. 107.,400,5,Cement panel C from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,Mortar (1:3 cement:sand mix),0.221,"Values estimated from the ICE Cement, Mortar & Concrete Model",1900,5,Cement mortar value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,Mortar (1:4),0.182,"Values estimated from the ICE Cement, Mortar & Concrete Model",1900,5,Cement mortar value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,Mortar (1:5),0.156,"Values estimated from the ICE Cement, Mortar & Concrete Model",1900,5,Cement mortar value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,Mortar (1:6),0.136,"Values estimated from the ICE Cement, Mortar & Concrete Model",1900,5,Cement mortar value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,Mortar (1: :4  Cement:Lime:Sand mix),0.213,"Values estimated from the ICE Cement, Mortar & Concrete Model",1900,5,Cement mortar value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,Mortar (1:1:6 Cement:Lime:Sand mix),0.174,"Values estimated from the ICE Cement, Mortar & Concrete Model",1900,5,Cement mortar value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Cement,Mortar (1:2:9 Cement:Lime:Sand mix),0.155,"Values estimated from the ICE Cement, Mortar & Concrete Model",1900,5,Cement mortar value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Ceramics,General,0.7,"Very large data range, difficult to select values for general ceramics.  ",1850,5,Average ceramic tile value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Ceramics,Fittings,1.14,Ref. 1.,1850,5,Average ceramic tile value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Ceramics,Sanitary Products,1.61,Limited data.,1850,5,Average ceramic tile value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Ceramics,Tiles and Cladding Panels,0.78,"Difficult to select, large range, limited data. See Ref. 292.",1850,5,Average ceramic tile value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Clay,Tile,0.48,,1900,5,Clay tiles value from CIBSE data,Assumed as 5% for baseline,TRUE,,
